       code              RA      RB      Salvar reg       Valor a atribuir           Valor RA                Valor RB              Entrada ULA1            Entrada ULA2            Saída da ULA       
0000 0000 0010 0100	0000	0001	   0010	        0000 0000 0000 0001	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
0000 0000 0100 0110	0000	0010	   0011	        0000 0000 0000 0001	0000 0000 0000 0000	0000 0000 0000 0001	0000 0000 0000 0000	0000 0000 0000 0001	0000 0000 0000 0001
0100 0100 0110 1000	0010	0011	   0100	        0000 0000 0000 0010	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0010
0010 1100 1000 1010	0110	0100	   0101	        0000 0000 0000 0010	0000 0000 0000 0000	0000 0000 0000 0010	0000 0000 0000 0000	0000 0000 0000 0010	0000 0000 0000 0010
0110 1010 0100 1110	0101	0010	   0111		0000 0000 0000 0001	0000 0000 0000 0010	0000 0000 0000 0001	0000 0000 0000 0010	0000 0000 0000 0001	0000 0000 0000 0001
1000 0100 0111 0001	0010	0011	   1000		0000 0000 0000 0000	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0000
1010 0000 0011 0001	0000	0001	   1000		0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
1010 0000 0000 0101	0000	0000	   0010		0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
1000 0100 0111 0001	0010	0011	   1000		0000 0000 0000 0000	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0000
1010 0000 0011 0001	0000	0001	   1000		0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
1010 0000 0000 0101	0000	0000	   0010		0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
1000 0100 0111 0001	0010	0011	   1000		0000 0000 0000 0000	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0001	0000 0000 0000 0000
